From,To,Count,Area_km2,Period,From_label,To_label
5,5,132,11.879999999999999,1992-1993,Shrubland,Shrubland
7,7,1441,129.69,1992-1993,Grassland,Grassland
8,8,24988,2248.92,1992-1993,Cropland,Cropland
8,13,3,0.27,1992-1993,Cropland,Built-up
9,9,3,0.27,1992-1993,Wetland,Wetland
12,12,457,41.129999999999995,1992-1993,Bareland,Bareland
12,13,11,0.99,1992-1993,Bareland,Built-up
13,13,494,44.46,1992-1993,Built-up,Built-up
15,15,78,7.02,1992-1993,Water,Water
20,20,18428,1658.52,1992-1993,Forest,Forest
5,5,132,11.879999999999999,1993-1994,Shrubland,Shrubland
7,7,1441,129.69,1993-1994,Grassland,Grassland
8,8,24986,2248.74,1993-1994,Cropland,Cropland
8,13,2,0.18,1993-1994,Cropland,Built-up
9,9,3,0.27,1993-1994,Wetland,Wetland
12,12,442,39.78,1993-1994,Bareland,Bareland
12,13,15,1.3499999999999999,1993-1994,Bareland,Built-up
13,13,508,45.72,1993-1994,Built-up,Built-up
15,15,78,7.02,1993-1994,Water,Water
20,20,18428,1658.52,1993-1994,Forest,Forest
5,5,132,11.879999999999999,1994-1995,Shrubland,Shrubland
7,7,1441,129.69,1994-1995,Grassland,Grassland
8,8,24942,2244.7799999999997,1994-1995,Cropland,Cropland
8,13,7,0.63,1994-1995,Cropland,Built-up
8,20,37,3.33,1994-1995,Cropland,Forest
9,9,3,0.27,1994-1995,Wetland,Wetland
12,12,426,38.339999999999996,1994-1995,Bareland,Bareland
12,13,16,1.44,1994-1995,Bareland,Built-up
13,13,525,47.25,1994-1995,Built-up,Built-up
15,15,78,7.02,1994-1995,Water,Water
20,7,9,0.8099999999999999,1994-1995,Forest,Grassland
20,8,113,10.17,1994-1995,Forest,Cropland
20,12,5,0.44999999999999996,1994-1995,Forest,Bareland
20,20,18301,1647.09,1994-1995,Forest,Forest
5,5,132,11.879999999999999,1995-1996,Shrubland,Shrubland
7,7,1450,130.5,1995-1996,Grassland,Grassland
8,8,25044,2253.96,1995-1996,Cropland,Cropland
8,13,11,0.99,1995-1996,Cropland,Built-up
9,9,3,0.27,1995-1996,Wetland,Wetland
12,12,422,37.98,1995-1996,Bareland,Bareland
12,13,9,0.8099999999999999,1995-1996,Bareland,Built-up
13,13,548,49.32,1995-1996,Built-up,Built-up
15,15,78,7.02,1995-1996,Water,Water
20,7,2,0.18,1995-1996,Forest,Grassland
20,8,44,3.96,1995-1996,Forest,Cropland
20,20,18292,1646.28,1995-1996,Forest,Forest
5,5,132,11.879999999999999,1996-1997,Shrubland,Shrubland
7,7,1452,130.68,1996-1997,Grassland,Grassland
8,8,25078,2257.02,1996-1997,Cropland,Cropland
8,13,10,0.8999999999999999,1996-1997,Cropland,Built-up
9,9,3,0.27,1996-1997,Wetland,Wetland
12,12,417,37.53,1996-1997,Bareland,Bareland
12,13,5,0.44999999999999996,1996-1997,Bareland,Built-up
13,13,568,51.12,1996-1997,Built-up,Built-up
15,15,78,7.02,1996-1997,Water,Water
20,7,13,1.17,1996-1997,Forest,Grassland
20,8,73,6.569999999999999,1996-1997,Forest,Cropland
20,20,18206,1638.54,1996-1997,Forest,Forest
5,5,131,11.79,1997-1998,Shrubland,Shrubland
5,20,1,0.09,1997-1998,Shrubland,Forest
7,7,1465,131.85,1997-1998,Grassland,Grassland
8,8,25123,2261.0699999999997,1997-1998,Cropland,Cropland
8,13,13,1.17,1997-1998,Cropland,Built-up
8,20,15,1.3499999999999999,1997-1998,Cropland,Forest
9,9,3,0.27,1997-1998,Wetland,Wetland
12,12,407,36.629999999999995,1997-1998,Bareland,Bareland
12,13,10,0.8999999999999999,1997-1998,Bareland,Built-up
13,13,583,52.47,1997-1998,Built-up,Built-up
15,15,78,7.02,1997-1998,Water,Water
20,7,22,1.98,1997-1998,Forest,Grassland
20,8,279,25.11,1997-1998,Forest,Cropland
20,12,1,0.09,1997-1998,Forest,Bareland
20,13,1,0.09,1997-1998,Forest,Built-up
20,20,17903,1611.27,1997-1998,Forest,Forest
5,5,131,11.79,1998-1999,Shrubland,Shrubland
7,7,1484,133.56,1998-1999,Grassland,Grassland
7,20,3,0.27,1998-1999,Grassland,Forest
8,8,25358,2282.22,1998-1999,Cropland,Cropland
8,13,16,1.44,1998-1999,Cropland,Built-up
8,20,28,2.52,1998-1999,Cropland,Forest
9,9,3,0.27,1998-1999,Wetland,Wetland
12,12,392,35.28,1998-1999,Bareland,Bareland
12,13,16,1.44,1998-1999,Bareland,Built-up
13,13,607,54.629999999999995,1998-1999,Built-up,Built-up
15,15,78,7.02,1998-1999,Water,Water
20,5,1,0.09,1998-1999,Forest,Shrubland
20,7,61,5.49,1998-1999,Forest,Grassland
20,8,484,43.559999999999995,1998-1999,Forest,Cropland
20,12,1,0.09,1998-1999,Forest,Bareland
20,20,17372,1563.48,1998-1999,Forest,Forest
5,5,132,11.879999999999999,1999-2000,Shrubland,Shrubland
7,7,1545,139.04999999999998,1999-2000,Grassland,Grassland
8,8,25808,2322.72,1999-2000,Cropland,Cropland
8,13,8,0.72,1999-2000,Cropland,Built-up
8,20,26,2.34,1999-2000,Cropland,Forest
9,9,3,0.27,1999-2000,Wetland,Wetland
12,12,378,34.019999999999996,1999-2000,Bareland,Bareland
12,13,15,1.3499999999999999,1999-2000,Bareland,Built-up
13,13,639,57.51,1999-2000,Built-up,Built-up
15,15,78,7.02,1999-2000,Water,Water
20,7,54,4.859999999999999,1999-2000,Forest,Grassland
20,8,368,33.12,1999-2000,Forest,Cropland
20,20,16981,1528.29,1999-2000,Forest,Forest
5,5,132,11.879999999999999,2000-2001,Shrubland,Shrubland
7,7,1599,143.91,2000-2001,Grassland,Grassland
8,8,26125,2351.25,2000-2001,Cropland,Cropland
8,13,2,0.18,2000-2001,Cropland,Built-up
8,20,49,4.41,2000-2001,Cropland,Forest
9,9,3,0.27,2000-2001,Wetland,Wetland
12,12,373,33.57,2000-2001,Bareland,Bareland
12,13,5,0.44999999999999996,2000-2001,Bareland,Built-up
13,13,662,59.58,2000-2001,Built-up,Built-up
15,15,78,7.02,2000-2001,Water,Water
20,7,13,1.17,2000-2001,Forest,Grassland
20,8,216,19.439999999999998,2000-2001,Forest,Cropland
20,20,16778,1510.02,2000-2001,Forest,Forest
5,5,131,11.79,2001-2002,Shrubland,Shrubland
5,20,1,0.09,2001-2002,Shrubland,Forest
7,7,1612,145.07999999999998,2001-2002,Grassland,Grassland
8,8,26295,2366.5499999999997,2001-2002,Cropland,Cropland
8,13,5,0.44999999999999996,2001-2002,Cropland,Built-up
8,20,41,3.69,2001-2002,Cropland,Forest
9,9,3,0.27,2001-2002,Wetland,Wetland
12,12,356,32.04,2001-2002,Bareland,Bareland
12,13,17,1.53,2001-2002,Bareland,Built-up
13,13,669,60.21,2001-2002,Built-up,Built-up
15,15,78,7.02,2001-2002,Water,Water
20,7,10,0.8999999999999999,2001-2002,Forest,Grassland
20,8,40,3.5999999999999996,2001-2002,Forest,Cropland
20,20,16777,1509.9299999999998,2001-2002,Forest,Forest
5,5,131,11.79,2002-2003,Shrubland,Shrubland
7,7,1621,145.89,2002-2003,Grassland,Grassland
7,20,1,0.09,2002-2003,Grassland,Forest
8,8,26248,2362.3199999999997,2002-2003,Cropland,Cropland
8,13,10,0.8999999999999999,2002-2003,Cropland,Built-up
8,20,77,6.93,2002-2003,Cropland,Forest
9,9,3,0.27,2002-2003,Wetland,Wetland
12,12,341,30.689999999999998,2002-2003,Bareland,Bareland
12,13,15,1.3499999999999999,2002-2003,Bareland,Built-up
13,13,691,62.19,2002-2003,Built-up,Built-up
15,15,78,7.02,2002-2003,Water,Water
20,8,29,2.61,2002-2003,Forest,Cropland
20,20,16790,1511.1,2002-2003,Forest,Forest
5,5,129,11.61,2003-2004,Shrubland,Shrubland
5,20,2,0.18,2003-2004,Shrubland,Forest
7,7,1621,145.89,2003-2004,Grassland,Grassland
8,8,26112,2350.08,2003-2004,Cropland,Cropland
8,13,12,1.08,2003-2004,Cropland,Built-up
8,20,153,13.77,2003-2004,Cropland,Forest
9,9,3,0.27,2003-2004,Wetland,Wetland
12,12,327,29.43,2003-2004,Bareland,Bareland
12,13,14,1.26,2003-2004,Bareland,Built-up
13,13,716,64.44,2003-2004,Built-up,Built-up
15,15,78,7.02,2003-2004,Water,Water
20,7,16,1.44,2003-2004,Forest,Grassland
20,8,209,18.81,2003-2004,Forest,Cropland
20,20,16643,1497.87,2003-2004,Forest,Forest
5,5,129,11.61,2004-2005,Shrubland,Shrubland
7,7,1634,147.06,2004-2005,Grassland,Grassland
7,20,3,0.27,2004-2005,Grassland,Forest
8,8,26224,2360.16,2004-2005,Cropland,Cropland
8,13,20,1.7999999999999998,2004-2005,Cropland,Built-up
8,20,77,6.93,2004-2005,Cropland,Forest
9,9,3,0.27,2004-2005,Wetland,Wetland
12,12,312,28.08,2004-2005,Bareland,Bareland
12,13,15,1.3499999999999999,2004-2005,Bareland,Built-up
13,13,742,66.78,2004-2005,Built-up,Built-up
15,15,78,7.02,2004-2005,Water,Water
20,8,11,0.99,2004-2005,Forest,Cropland
20,20,16787,1510.83,2004-2005,Forest,Forest
5,5,129,11.61,2005-2006,Shrubland,Shrubland
7,7,1634,147.06,2005-2006,Grassland,Grassland
8,8,26190,2357.1,2005-2006,Cropland,Cropland
8,13,20,1.7999999999999998,2005-2006,Cropland,Built-up
8,20,25,2.25,2005-2006,Cropland,Forest
9,9,3,0.27,2005-2006,Wetland,Wetland
12,12,302,27.18,2005-2006,Bareland,Bareland
12,13,10,0.8999999999999999,2005-2006,Bareland,Built-up
13,13,777,69.92999999999999,2005-2006,Built-up,Built-up
15,15,78,7.02,2005-2006,Water,Water
20,8,25,2.25,2005-2006,Forest,Cropland
20,20,16842,1515.78,2005-2006,Forest,Forest
5,5,129,11.61,2006-2007,Shrubland,Shrubland
7,7,1633,146.97,2006-2007,Grassland,Grassland
7,20,1,0.09,2006-2007,Grassland,Forest
8,8,26104,2349.36,2006-2007,Cropland,Cropland
8,13,55,4.95,2006-2007,Cropland,Built-up
8,20,56,5.04,2006-2007,Cropland,Forest
9,9,3,0.27,2006-2007,Wetland,Wetland
12,12,262,23.58,2006-2007,Bareland,Bareland
12,13,40,3.5999999999999996,2006-2007,Bareland,Built-up
13,13,807,72.63,2006-2007,Built-up,Built-up
15,15,78,7.02,2006-2007,Water,Water
20,8,5,0.44999999999999996,2006-2007,Forest,Cropland
20,20,16862,1517.58,2006-2007,Forest,Forest
5,5,129,11.61,2007-2008,Shrubland,Shrubland
7,7,1630,146.7,2007-2008,Grassland,Grassland
7,20,3,0.27,2007-2008,Grassland,Forest
8,8,25991,2339.19,2007-2008,Cropland,Cropland
8,13,29,2.61,2007-2008,Cropland,Built-up
8,20,89,8.01,2007-2008,Cropland,Forest
9,9,3,0.27,2007-2008,Wetland,Wetland
12,12,246,22.14,2007-2008,Bareland,Bareland
12,13,16,1.44,2007-2008,Bareland,Built-up
13,13,902,81.17999999999999,2007-2008,Built-up,Built-up
15,15,78,7.02,2007-2008,Water,Water
20,8,48,4.32,2007-2008,Forest,Cropland
20,20,16871,1518.3899999999999,2007-2008,Forest,Forest
5,5,129,11.61,2008-2009,Shrubland,Shrubland
7,7,1621,145.89,2008-2009,Grassland,Grassland
7,20,9,0.8099999999999999,2008-2009,Grassland,Forest
8,8,25921,2332.89,2008-2009,Cropland,Cropland
8,13,23,2.07,2008-2009,Cropland,Built-up
8,20,95,8.549999999999999,2008-2009,Cropland,Forest
9,9,3,0.27,2008-2009,Wetland,Wetland
12,12,237,21.33,2008-2009,Bareland,Bareland
12,13,9,0.8099999999999999,2008-2009,Bareland,Built-up
13,13,947,85.22999999999999,2008-2009,Built-up,Built-up
15,15,78,7.02,2008-2009,Water,Water
20,8,27,2.4299999999999997,2008-2009,Forest,Cropland
20,13,1,0.09,2008-2009,Forest,Built-up
20,20,16935,1524.1499999999999,2008-2009,Forest,Forest
5,5,129,11.61,2009-2010,Shrubland,Shrubland
7,7,1621,145.89,2009-2010,Grassland,Grassland
8,8,25932,2333.88,2009-2010,Cropland,Cropland
8,13,15,1.3499999999999999,2009-2010,Cropland,Built-up
8,20,1,0.09,2009-2010,Cropland,Forest
9,9,3,0.27,2009-2010,Wetland,Wetland
12,12,231,20.79,2009-2010,Bareland,Bareland
12,13,6,0.54,2009-2010,Bareland,Built-up
13,13,980,88.2,2009-2010,Built-up,Built-up
15,15,78,7.02,2009-2010,Water,Water
20,7,3,0.27,2009-2010,Forest,Grassland
20,8,36,3.2399999999999998,2009-2010,Forest,Cropland
20,20,17000,1530.0,2009-2010,Forest,Forest
5,5,129,11.61,2010-2011,Shrubland,Shrubland
7,7,1624,146.16,2010-2011,Grassland,Grassland
8,8,25951,2335.5899999999997,2010-2011,Cropland,Cropland
8,13,13,1.17,2010-2011,Cropland,Built-up
8,20,4,0.36,2010-2011,Cropland,Forest
9,9,3,0.27,2010-2011,Wetland,Wetland
12,12,222,19.98,2010-2011,Bareland,Bareland
12,13,9,0.8099999999999999,2010-2011,Bareland,Built-up
13,13,1001,90.09,2010-2011,Built-up,Built-up
15,15,78,7.02,2010-2011,Water,Water
20,8,2,0.18,2010-2011,Forest,Cropland
20,20,16999,1529.9099999999999,2010-2011,Forest,Forest
5,5,129,11.61,2011-2012,Shrubland,Shrubland
7,7,1624,146.16,2011-2012,Grassland,Grassland
8,8,25937,2334.33,2011-2012,Cropland,Cropland
8,13,16,1.44,2011-2012,Cropland,Built-up
9,9,3,0.27,2011-2012,Wetland,Wetland
12,12,219,19.71,2011-2012,Bareland,Bareland
12,13,3,0.27,2011-2012,Bareland,Built-up
13,13,1023,92.07,2011-2012,Built-up,Built-up
15,15,78,7.02,2011-2012,Water,Water
20,8,33,2.9699999999999998,2011-2012,Forest,Cropland
20,20,16970,1527.3,2011-2012,Forest,Forest
5,5,129,11.61,2012-2013,Shrubland,Shrubland
7,7,1624,146.16,2012-2013,Grassland,Grassland
8,8,25937,2334.33,2012-2013,Cropland,Cropland
8,13,24,2.16,2012-2013,Cropland,Built-up
8,20,9,0.8099999999999999,2012-2013,Cropland,Forest
9,9,3,0.27,2012-2013,Wetland,Wetland
12,12,213,19.169999999999998,2012-2013,Bareland,Bareland
12,13,6,0.54,2012-2013,Bareland,Built-up
13,13,1042,93.78,2012-2013,Built-up,Built-up
15,15,78,7.02,2012-2013,Water,Water
20,20,16970,1527.3,2012-2013,Forest,Forest
5,5,129,11.61,2013-2014,Shrubland,Shrubland
7,7,1623,146.07,2013-2014,Grassland,Grassland
7,20,1,0.09,2013-2014,Grassland,Forest
8,8,25841,2325.69,2013-2014,Cropland,Cropland
8,13,26,2.34,2013-2014,Cropland,Built-up
8,20,70,6.3,2013-2014,Cropland,Forest
9,9,3,0.27,2013-2014,Wetland,Wetland
12,12,208,18.72,2013-2014,Bareland,Bareland
12,13,5,0.44999999999999996,2013-2014,Bareland,Built-up
13,13,1072,96.47999999999999,2013-2014,Built-up,Built-up
15,15,78,7.02,2013-2014,Water,Water
20,7,1,0.09,2013-2014,Forest,Grassland
20,8,1,0.09,2013-2014,Forest,Cropland
20,20,16977,1527.9299999999998,2013-2014,Forest,Forest
5,5,129,11.61,2014-2015,Shrubland,Shrubland
7,7,1624,146.16,2014-2015,Grassland,Grassland
8,8,25818,2323.62,2014-2015,Cropland,Cropland
8,13,24,2.16,2014-2015,Cropland,Built-up
9,9,3,0.27,2014-2015,Wetland,Wetland
12,12,202,18.18,2014-2015,Bareland,Bareland
12,13,6,0.54,2014-2015,Bareland,Built-up
13,13,1103,99.27,2014-2015,Built-up,Built-up
15,15,78,7.02,2014-2015,Water,Water
20,20,17048,1534.32,2014-2015,Forest,Forest
5,5,129,11.61,2015-2016,Shrubland,Shrubland
7,7,1624,146.16,2015-2016,Grassland,Grassland
8,8,25806,2322.54,2015-2016,Cropland,Cropland
8,20,12,1.08,2015-2016,Cropland,Forest
9,9,3,0.27,2015-2016,Wetland,Wetland
12,12,202,18.18,2015-2016,Bareland,Bareland
13,13,1133,101.97,2015-2016,Built-up,Built-up
15,15,78,7.02,2015-2016,Water,Water
20,20,17048,1534.32,2015-2016,Forest,Forest
5,5,129,11.61,2016-2017,Shrubland,Shrubland
7,7,1624,146.16,2016-2017,Grassland,Grassland
8,8,25796,2321.64,2016-2017,Cropland,Cropland
8,13,3,0.27,2016-2017,Cropland,Built-up
8,20,7,0.63,2016-2017,Cropland,Forest
9,9,3,0.27,2016-2017,Wetland,Wetland
12,12,200,18.0,2016-2017,Bareland,Bareland
12,13,2,0.18,2016-2017,Bareland,Built-up
13,13,1133,101.97,2016-2017,Built-up,Built-up
15,15,78,7.02,2016-2017,Water,Water
20,20,17060,1535.3999999999999,2016-2017,Forest,Forest
5,5,129,11.61,2017-2018,Shrubland,Shrubland
7,7,1624,146.16,2017-2018,Grassland,Grassland
8,8,25783,2320.47,2017-2018,Cropland,Cropland
8,13,1,0.09,2017-2018,Cropland,Built-up
8,20,12,1.08,2017-2018,Cropland,Forest
9,9,3,0.27,2017-2018,Wetland,Wetland
12,12,200,18.0,2017-2018,Bareland,Bareland
13,13,1138,102.42,2017-2018,Built-up,Built-up
15,15,78,7.02,2017-2018,Water,Water
20,20,17067,1536.03,2017-2018,Forest,Forest
5,5,129,11.61,2018-2019,Shrubland,Shrubland
7,7,1624,146.16,2018-2019,Grassland,Grassland
8,8,25757,2318.13,2018-2019,Cropland,Cropland
8,20,26,2.34,2018-2019,Cropland,Forest
9,9,3,0.27,2018-2019,Wetland,Wetland
12,12,200,18.0,2018-2019,Bareland,Bareland
13,13,1139,102.50999999999999,2018-2019,Built-up,Built-up
15,15,78,7.02,2018-2019,Water,Water
20,20,17079,1537.11,2018-2019,Forest,Forest
5,5,129,11.61,2019-2020,Shrubland,Shrubland
7,7,1624,146.16,2019-2020,Grassland,Grassland
8,8,25757,2318.13,2019-2020,Cropland,Cropland
9,9,3,0.27,2019-2020,Wetland,Wetland
12,12,200,18.0,2019-2020,Bareland,Bareland
13,13,1139,102.50999999999999,2019-2020,Built-up,Built-up
15,15,78,7.02,2019-2020,Water,Water
20,20,17105,1539.45,2019-2020,Forest,Forest
5,5,129,11.61,2020-2021,Shrubland,Shrubland
7,7,1624,146.16,2020-2021,Grassland,Grassland
8,8,25751,2317.5899999999997,2020-2021,Cropland,Cropland
8,13,6,0.54,2020-2021,Cropland,Built-up
9,9,3,0.27,2020-2021,Wetland,Wetland
12,12,195,17.55,2020-2021,Bareland,Bareland
12,13,5,0.44999999999999996,2020-2021,Bareland,Built-up
13,13,1139,102.50999999999999,2020-2021,Built-up,Built-up
15,15,78,7.02,2020-2021,Water,Water
20,8,4,0.36,2020-2021,Forest,Cropland
20,20,17101,1539.09,2020-2021,Forest,Forest
5,5,129,11.61,2021-2022,Shrubland,Shrubland
7,7,1623,146.07,2021-2022,Grassland,Grassland
7,20,1,0.09,2021-2022,Grassland,Forest
8,8,25744,2316.96,2021-2022,Cropland,Cropland
8,13,7,0.63,2021-2022,Cropland,Built-up
8,20,4,0.36,2021-2022,Cropland,Forest
9,9,3,0.27,2021-2022,Wetland,Wetland
12,12,193,17.37,2021-2022,Bareland,Bareland
12,13,2,0.18,2021-2022,Bareland,Built-up
13,13,1150,103.5,2021-2022,Built-up,Built-up
15,15,78,7.02,2021-2022,Water,Water
20,20,17101,1539.09,2021-2022,Forest,Forest
