Period,From,To,Area_km2
2005-2006,13,5,718.7004
2005-2006,13,7,646.3683
2005-2006,13,8,4767.8283
2005-2006,13,9,69.9741
2005-2006,13,11,5.9571
2005-2006,13,12,285.3657
2005-2006,13,13,102105.1926
2005-2006,13,15,21.1788
2005-2006,13,16,5.6637
2005-2006,13,20,510.0138
2005-2006,15,5,36.9261
2005-2006,15,7,5.4324
2005-2006,15,8,84.8376
2005-2006,15,9,2212.9155
2005-2006,15,11,1.8999
2005-2006,15,12,66.3957
2005-2006,15,13,31.3398
2005-2006,15,15,3533961.5019
2005-2006,15,16,96.5088
2005-2006,15,20,63.1575
2005-2006,16,5,34.8201
2005-2006,16,7,1.5813
2005-2006,16,8,2.2788
2005-2006,16,9,0.0297
2005-2006,16,11,0.2601
2005-2006,16,12,31.1526
2005-2006,16,13,1.9953
2005-2006,16,15,25.7418
2005-2006,16,16,3231.3177
2005-2006,16,20,7.794
2005-2006,20,5,3278.6676
2005-2006,20,7,887.1633
2005-2006,20,8,6911.3151
2005-2006,20,9,407.7747
2005-2006,20,11,6.0264
2005-2006,20,12,49.4091
2005-2006,20,13,529.6959
2005-2006,20,15,40.4748
2005-2006,20,16,19.9134
2005-2006,20,20,1108661.4558
2006-2007,5,5,458016.8958
2006-2007,5,7,1254.5199
2006-2007,5,8,5609.2428
2006-2007,5,9,376.9641
2006-2007,5,11,25.4457
2006-2007,5,12,394.8147
2006-2007,5,13,760.302
2006-2007,5,15,29.9484
2006-2007,5,16,62.1018
2006-2007,5,20,2355.9273
2006-2007,7,5,1016.0037
2006-2007,7,7,486703.3428
2006-2007,7,8,6178.0626
2006-2007,7,9,187.9056
2006-2007,7,11,18.6993
2006-2007,7,12,915.2118
2006-2007,7,13,691.4682
2006-2007,7,15,4.3569
2006-2007,7,16,2.9259
2006-2007,7,20,699.6348
2006-2007,8,5,5187.87
2006-2007,8,7,8343.7227
2006-2007,8,8,1723771.2546
2006-2007,8,9,785.3391
2006-2007,8,11,29.5605
2006-2007,8,12,765.7209
2006-2007,8,13,5704.2459
2006-2007,8,15,32.2569
2006-2007,8,16,2.4309
2006-2007,8,20,5074.6284
2006-2007,9,5,382.1823
2006-2007,9,7,149.6394
2006-2007,9,8,874.1016
2006-2007,9,9,40277.1402
2006-2007,9,11,3.1131
2006-2007,9,12,815.7294
2006-2007,9,13,91.755
2006-2007,9,15,1479.4596
2006-2007,9,16,0.0414
2006-2007,9,20,399.6018
2006-2007,11,5,31.5828
2006-2007,11,7,23.1561
2006-2007,11,8,40.8249
2006-2007,11,9,0.9315
2006-2007,11,11,868.7232
2006-2007,11,12,5.2083
2006-2007,11,13,5.7294
2006-2007,11,15,0.8307
2006-2007,11,16,0.5193
2006-2007,11,20,7.3764
2006-2007,12,5,252.5004
2006-2007,12,7,802.6515
2006-2007,12,8,889.317
2006-2007,12,9,1242.0423
2006-2007,12,11,4.5009
2006-2007,12,12,1086555.4578
2006-2007,12,13,306.8145
2006-2007,12,15,43.9353
2006-2007,12,16,69.0084
2006-2007,12,20,76.8384
2006-2007,13,5,690.0021
2006-2007,13,7,608.3307
2006-2007,13,8,4493.1087
2006-2007,13,9,67.1787
2006-2007,13,11,6.0435
2006-2007,13,12,237.9861
2006-2007,13,13,103677.4026
2006-2007,13,15,22.1499
2006-2007,13,16,4.1472
2006-2007,13,20,484.1109
2006-2007,15,5,33.5511
2006-2007,15,7,5.1057
2006-2007,15,8,57.7287
2006-2007,15,9,1764.4635
2006-2007,15,11,4.4298
2006-2007,15,12,66.3822
2006-2007,15,13,24.579
2006-2007,15,15,3533115.6027
2006-2007,15,16,68.1417
2006-2007,15,20,62.7102
2006-2007,16,5,39.9267
2006-2007,16,7,1.7082
2006-2007,16,8,2.421
2006-2007,16,9,0.0432
2006-2007,16,11,0.1782
2006-2007,16,12,63.2943
2006-2007,16,13,3.1707
2006-2007,16,15,50.2497
2006-2007,16,16,3396.9762
2006-2007,16,20,15.9048
2006-2007,20,5,2930.4216
2006-2007,20,7,799.4547
2006-2007,20,8,5916.1617
2006-2007,20,9,379.4886
2006-2007,20,11,5.5512
2006-2007,20,12,52.2765
2006-2007,20,13,538.9632
2006-2007,20,15,35.6382
2006-2007,20,16,14.0697
2006-2007,20,20,1108485.4113
2007-2008,5,5,455926.0239
2007-2008,5,7,1478.8341
2007-2008,5,8,7102.8144
2007-2008,5,9,409.9923
2007-2008,5,11,36.2079
2007-2008,5,12,340.3305
2007-2008,5,13,740.6514
2007-2008,5,15,37.8072
2007-2008,5,16,44.3169
2007-2008,5,20,2463.9597
2007-2008,7,5,1211.8311
2007-2008,7,7,483747.4746
2007-2008,7,8,10908.5049
2007-2008,7,9,225.1575
2007-2008,7,11,20.0691
2007-2008,7,12,897.4557
2007-2008,7,13,722.9709
2007-2008,7,15,9.792
2007-2008,7,16,1.6677
2007-2008,7,20,946.7118
2007-2008,8,5,6062.7987
2007-2008,8,7,8991.1458
2007-2008,8,8,1719698.1291
2007-2008,8,9,965.0151
2007-2008,8,11,36.6579
2007-2008,8,12,993.9681
2007-2008,8,13,5807.1447
2007-2008,8,15,48.2886
2007-2008,8,16,3.1329
2007-2008,8,20,5225.9517
2007-2008,9,5,353.2329
2007-2008,9,7,158.2416
2007-2008,9,8,956.0529
2007-2008,9,9,40571.0469
2007-2008,9,11,1.5219
2007-2008,9,12,961.8255
2007-2008,9,13,88.3116
2007-2008,9,15,1564.911
2007-2008,9,16,0.0585
2007-2008,9,20,426.294
2007-2008,11,5,32.9328
2007-2008,11,7,33.5295
2007-2008,11,8,57.5784
2007-2008,11,9,2.8341
2007-2008,11,11,818.496
2007-2008,11,12,3.4947
2007-2008,11,13,6.831
2007-2008,11,15,1.6659
2007-2008,11,16,0.2691
2007-2008,11,20,8.6148
2007-2008,12,5,346.1994
2007-2008,12,7,1180.6515
2007-2008,12,8,1077.9588
2007-2008,12,9,986.463
2007-2008,12,11,6.786
2007-2008,12,12,1085727.2508
2007-2008,12,13,310.4973
2007-2008,12,15,66.9123
2007-2008,12,16,79.1343
2007-2008,12,20,90.2295
2007-2008,13,5,773.2197
2007-2008,13,7,655.9821
2007-2008,13,8,4625.0982
2007-2008,13,9,79.0767
2007-2008,13,11,5.3397
2007-2008,13,12,248.2623
2007-2008,13,13,104900.2335
2007-2008,13,15,21.0438
2007-2008,13,16,3.7098
2007-2008,13,20,492.471
2007-2008,15,5,32.4369
2007-2008,15,7,8.0514
2007-2008,15,8,45.1647
2007-2008,15,9,1473.1092
2007-2008,15,11,1.3149
2007-2008,15,12,47.1915
2007-2008,15,13,24.9948
2007-2008,15,15,3533045.9526
2007-2008,15,16,91.0449
2007-2008,15,20,45.1683
2007-2008,16,5,84.7224
2007-2008,16,7,2.6181
2007-2008,16,8,2.268
2007-2008,16,9,0.0387
2007-2008,16,11,0.3015
2007-2008,16,12,90.945
2007-2008,16,13,5.2956
2007-2008,16,15,33.9156
2007-2008,16,16,3386.808
2007-2008,16,20,13.4487
2007-2008,20,5,3465.81
2007-2008,20,7,988.0164
2007-2008,20,8,6415.1532
2007-2008,20,9,406.2492
2007-2008,20,11,8.2566
2007-2008,20,12,86.2362
2007-2008,20,13,537.2217
2007-2008,20,15,38.5164
2007-2008,20,16,24.5403
2007-2008,20,20,1105692.1389
2008-2009,5,5,456949.8243
2008-2009,5,7,1265.76
2008-2009,5,8,5807.8836
2008-2009,5,9,401.5611
2008-2009,5,11,28.4166
2008-2009,5,12,256.4271
2008-2009,5,13,806.6529
2008-2009,5,15,34.4277
2008-2009,5,16,46.7514
2008-2009,5,20,2691.5076
2008-2009,7,5,1228.1355
2008-2009,7,7,485792.8074
2008-2009,7,8,7879.0833
2008-2009,7,9,144.6471
2008-2009,7,11,17.3178
2008-2009,7,12,609.8418
2008-2009,7,13,714.6324
2008-2009,7,15,6.4395
2008-2009,7,16,1.6056
2008-2009,7,20,850.0365
2008-2009,8,5,5731.5438
2008-2009,8,7,6985.0413
2008-2009,8,8,1725294.4605
2008-2009,8,9,1071.432
2008-2009,8,11,33.1173
2008-2009,8,12,757.6227
2008-2009,8,13,5405.4558
2008-2009,8,15,58.8771
2008-2009,8,16,2.7783
2008-2009,8,20,5548.4001
2008-2009,9,5,356.4747
2008-2009,9,7,177.075
2008-2009,9,8,790.902
2008-2009,9,9,40245.4539
2008-2009,9,11,1.4004
2008-2009,9,12,1086.7968
2008-2009,9,13,80.4726
2008-2009,9,15,1969.3701
2008-2009,9,16,0.0576
2008-2009,9,20,410.9868
2008-2009,11,5,28.3185
2008-2009,11,7,24.8994
2008-2009,11,8,38.2383
2008-2009,11,9,1.6614
2008-2009,11,11,821.1456
2008-2009,11,12,4.6341
2008-2009,11,13,5.8698
2008-2009,11,15,1.4877
2008-2009,11,16,0.3087
2008-2009,11,20,8.388
2008-2009,12,5,307.0629
2008-2009,12,7,1342.7082
2008-2009,12,8,684.5094
2008-2009,12,9,815.8248
2008-2009,12,11,7.9929
2008-2009,12,12,1085718.5208
2008-2009,12,13,313.1847
2008-2009,12,15,45.5877
2008-2009,12,16,78.7275
2008-2009,12,20,82.8306
2008-2009,13,5,699.2334
2008-2009,13,7,661.4298
2008-2009,13,8,4547.934
2008-2009,13,9,85.3794
2008-2009,13,11,5.6682
2008-2009,13,12,215.163
2008-2009,13,13,106438.1391
2008-2009,13,15,23.6736
2008-2009,13,16,5.7753
2008-2009,13,20,461.7639
2008-2009,15,5,29.1699
2008-2009,15,7,4.788
2008-2009,15,8,38.3913
2008-2009,15,9,1033.6527
2008-2009,15,11,0.738
2008-2009,15,12,54.4248
2008-2009,15,13,21.4776
2008-2009,15,15,3533560.2135
2008-2009,15,16,90.5337
2008-2009,15,20,35.415
2008-2009,16,5,52.0974
2008-2009,16,7,2.4687
2008-2009,16,8,1.5813
2008-2009,16,9,0.0234
2008-2009,16,11,0.1755
2008-2009,16,12,44.4816
2008-2009,16,13,2.2347
2008-2009,16,15,20.4327
2008-2009,16,16,3504.3786
2008-2009,16,20,6.8085
2008-2009,20,5,2991.0123
2008-2009,20,7,788.8536
2008-2009,20,8,5170.3803
2008-2009,20,9,453.2769
2008-2009,20,11,7.7175
2008-2009,20,12,44.9955
2008-2009,20,13,505.953
2008-2009,20,15,41.9067
2008-2009,20,16,23.1111
2008-2009,20,20,1105377.777
2009-2010,5,5,456897.3237
2009-2010,5,7,1552.032
2009-2010,5,8,5737.2507
2009-2010,5,9,345.3057
2009-2010,5,11,33.4359
2009-2010,5,12,207.3537
2009-2010,5,13,712.8099
2009-2010,5,15,42.9156
2009-2010,5,16,23.8554
2009-2010,5,20,2820.5991
2009-2010,7,5,1614.9402
2009-2010,7,7,483366.5352
2009-2010,7,8,9687.1617
2009-2010,7,9,165.1059
2009-2010,7,11,23.5503
2009-2010,7,12,443.8845
2009-2010,7,13,716.0994
2009-2010,7,15,5.1651
2009-2010,7,16,1.2492
2009-2010,7,20,1022.1345
2009-2010,8,5,5702.2218
2009-2010,8,7,8049.3867
2009-2010,8,8,1724618.5029
2009-2010,8,9,821.8089
2009-2010,8,11,41.1732
2009-2010,8,12,489.6891
2009-2010,8,13,5151.312
2009-2010,8,15,70.0722
2009-2010,8,16,0.8154
2009-2010,8,20,5308.3809
2009-2010,9,5,293.1552
2009-2010,9,7,125.6859
2009-2010,9,8,654.219
2009-2010,9,9,39925.8657
2009-2010,9,11,1.9944
2009-2010,9,12,790.029
2009-2010,9,13,79.7391
2009-2010,9,15,1957.4433
2009-2010,9,16,0.0117
2009-2010,9,20,424.7685
2009-2010,11,5,30.7791
2009-2010,11,7,36.8433
2009-2010,11,8,43.7706
2009-2010,11,9,1.0062
2009-2010,11,11,794.3229
2009-2010,11,12,1.6992
2009-2010,11,13,6.0588
2009-2010,11,15,0.8388
2009-2010,11,16,0.0792
2009-2010,11,20,8.2917
2009-2010,12,5,361.8126
2009-2010,12,7,1309.59
2009-2010,12,8,826.4817
2009-2010,12,9,1235.5524
2009-2010,12,11,4.1562
2009-2010,12,12,1084562.7381
2009-2010,12,13,315.4473
2009-2010,12,15,63.0297
2009-2010,12,16,29.376
2009-2010,12,20,84.717
2009-2010,13,5,730.8369
2009-2010,13,7,619.8894
2009-2010,13,8,4457.7387
2009-2010,13,9,76.0698
2009-2010,13,11,6.8391
2009-2010,13,12,205.7121
2009-2010,13,13,107738.7507
2009-2010,13,15,19.7874
2009-2010,13,16,1.1934
2009-2010,13,20,437.2614
2009-2010,15,5,30.7881
2009-2010,15,7,5.7438
2009-2010,15,8,47.8476
2009-2010,15,9,1182.1842
2009-2010,15,11,1.3644
2009-2010,15,12,39.2895
2009-2010,15,13,25.4682
2009-2010,15,15,3534371.4339
2009-2010,15,16,10.1349
2009-2010,15,20,48.1626
2009-2010,16,5,80.6409
2009-2010,16,7,3.5028
2009-2010,16,8,4.1148
2009-2010,16,9,0.1431
2009-2010,16,11,0.4842
2009-2010,16,12,110.2131
2009-2010,16,13,8.8551
2009-2010,16,15,124.9047
2009-2010,16,16,3383.8848
2009-2010,16,20,37.2861
2009-2010,20,5,2706.5628
2009-2010,20,7,1066.9815
2009-2010,20,8,5520.4506
2009-2010,20,9,447.9939
2009-2010,20,11,9.0549
2009-2010,20,12,37.08
2009-2010,20,13,477.1872
2009-2010,20,15,38.8341
2009-2010,20,16,2.6586
2009-2010,20,20,1105167.1113
2010-2011,5,5,459306.2358
2010-2011,5,7,1095.2847
2010-2011,5,8,4511.9835
2010-2011,5,9,333.9792
2010-2011,5,11,35.0199
2010-2011,5,12,195.3693
2010-2011,5,13,721.4778
2010-2011,5,15,46.8072
2010-2011,5,16,83.7306
2010-2011,5,20,2119.1661
2010-2011,7,5,1214.5896
2010-2011,7,7,486124.9992
2010-2011,7,8,6739.9695
2010-2011,7,9,143.739
2010-2011,7,11,30.8754
2010-2011,7,12,424.9305
2010-2011,7,13,682.1388
2010-2011,7,15,5.1453
2010-2011,7,16,5.103
2010-2011,7,20,764.7138
2010-2011,8,5,4567.8753
2010-2011,8,7,5585.4972
2010-2011,8,8,1731028.8699
2010-2011,8,9,755.7372
2010-2011,8,11,41.1912
2010-2011,8,12,321.1146
2010-2011,8,13,5073.0606
2010-2011,8,15,78.984
2010-2011,8,16,2.5218
2010-2011,8,20,4142.6865
2010-2011,9,5,323.451
2010-2011,9,7,157.2129
2010-2011,9,8,627.2892
2010-2011,9,9,39339.7848
2010-2011,9,11,2.4903
2010-2011,9,12,1392.6537
2010-2011,9,13,85.644
2010-2011,9,15,1875.2004
2010-2011,9,16,0.0432
2010-2011,9,20,397.2645
2010-2011,11,5,25.5996
2010-2011,11,7,25.0758
2010-2011,11,8,33.3441
2010-2011,11,9,1.7289
2010-2011,11,11,808.3089
2010-2011,11,12,2.1231
2010-2011,11,13,7.4736
2010-2011,11,15,1.8702
2010-2011,11,16,0.2295
2010-2011,11,20,10.6209
2010-2011,12,5,372.0096
2010-2011,12,7,985.9392
2010-2011,12,8,638.4384
2010-2011,12,9,776.3589
2010-2011,12,11,7.1541
2010-2011,12,12,1083596.634
2010-2011,12,13,296.9154
2010-2011,12,15,43.8606
2010-2011,12,16,95.1156
2010-2011,12,20,75.2634
2010-2011,13,5,683.523
2010-2011,13,7,644.211
2010-2011,13,8,4327.1073
2010-2011,13,9,71.298
2010-2011,13,11,6.6717
2010-2011,13,12,201.2535
2010-2011,13,13,108839.8566
2010-2011,13,15,21.4803
2010-2011,13,16,4.8168
2010-2011,13,20,431.5122
2010-2011,15,5,24.6537
2010-2011,15,7,4.7322
2010-2011,15,8,32.6709
2010-2011,15,9,1203.3459
2010-2011,15,11,1.5957
2010-2011,15,12,40.3047
2010-2011,15,13,22.4334
2010-2011,15,15,3535291.647
2010-2011,15,16,36.4563
2010-2011,15,20,36.585
2010-2011,16,5,24.6807
2010-2011,16,7,1.1331
2010-2011,16,8,2.0142
2010-2011,16,9,0.0702
2010-2011,16,11,0.162
2010-2011,16,12,38.4507
2010-2011,16,13,2.4138
2010-2011,16,15,55.1565
2010-2011,16,16,3314.8008
2010-2011,16,20,14.3757
2010-2011,20,5,2531.0511
2010-2011,20,7,772.5537
2010-2011,20,8,4919.1165
2010-2011,20,9,454.2174
2010-2011,20,11,9.4572
2010-2011,20,12,37.2861
2010-2011,20,13,453.4029
2010-2011,20,15,42.4575
2010-2011,20,16,13.3452
2010-2011,20,20,1106125.8264
2011-2012,5,5,454572.7542
2011-2012,5,7,1258.8282
2011-2012,5,8,7569.9396
2011-2012,5,9,450.0
2011-2012,5,11,36.7659
2011-2012,5,12,350.4303
2011-2012,5,13,786.1617
2011-2012,5,15,57.8106
2011-2012,5,16,249.2109
2011-2012,5,20,3741.7689
2011-2012,7,5,1283.2776
2011-2012,7,7,481424.5044
2011-2012,7,8,9906.9471
2011-2012,7,9,222.7698
2011-2012,7,11,28.4742
2011-2012,7,12,726.5322
2011-2012,7,13,761.184
2011-2012,7,15,5.4351
2011-2012,7,16,13.1499
2011-2012,7,20,1024.3638
2011-2012,8,5,6193.6524
2011-2012,8,7,8992.5615
2011-2012,8,8,1723956.1974
2011-2012,8,9,763.9956
2011-2012,8,11,45.6858
2011-2012,8,12,577.6308
2011-2012,8,13,5378.8626
2011-2012,8,15,57.9699
2011-2012,8,16,9.4878
2011-2012,8,20,6884.7552
2011-2012,9,5,409.8618
2011-2012,9,7,120.4119
2011-2012,9,8,757.9458
2011-2012,9,9,38753.1666
2011-2012,9,11,2.5902
2011-2012,9,12,1018.7172
2011-2012,9,13,82.4742
2011-2012,9,15,1491.3387
2011-2012,9,16,0.2817
2011-2012,9,20,443.4633
2011-2012,11,5,31.7574
2011-2012,11,7,30.879
2011-2012,11,8,58.5558
2011-2012,11,9,2.5875
2011-2012,11,11,793.6947
2011-2012,11,12,3.5505
2011-2012,11,13,7.3008
2011-2012,11,15,1.6515
2011-2012,11,16,1.1763
2011-2012,11,20,11.7747
2011-2012,12,5,287.1585
2011-2012,12,7,1027.3203
2011-2012,12,8,1104.0795
2011-2012,12,9,1791.1629
2011-2012,12,11,2.2176
2011-2012,12,12,1081429.5699
2011-2012,12,13,281.3805
2011-2012,12,15,46.6992
2011-2012,12,16,197.8209
2011-2012,12,20,82.7046
2011-2012,13,5,747.4536
2011-2012,13,7,680.9814
2011-2012,13,8,5109.1956
2011-2012,13,9,90.2106
2011-2012,13,11,6.9615
2011-2012,13,12,225.864
2011-2012,13,13,108766.4148
2011-2012,13,15,24.0804
2011-2012,13,16,13.5738
2011-2012,13,20,520.0839
2011-2012,15,5,39.9789
2011-2012,15,7,5.3487
2011-2012,15,8,74.8917
2011-2012,15,9,1520.8605
2011-2012,15,11,7.146
2011-2012,15,12,110.5344
2011-2012,15,13,27.981
2011-2012,15,15,3535467.0651
2011-2012,15,16,162.9144
2011-2012,15,20,45.8883
2011-2012,16,5,2.7729
2011-2012,16,7,0.1755
2011-2012,16,8,0.2097
2011-2012,16,9,0.0054
2011-2012,16,11,0.0234
2011-2012,16,12,10.8522
2011-2012,16,13,0.7389
2011-2012,16,15,13.9833
2011-2012,16,16,3525.3369
2011-2012,16,20,2.0646
2011-2012,20,5,3722.9589
2011-2012,20,7,922.1418
2011-2012,20,8,8874.9036
2011-2012,20,9,419.3199
2011-2012,20,11,9.5724
2011-2012,20,12,60.6465
2011-2012,20,13,473.3712
2011-2012,20,15,64.9863
2011-2012,20,16,62.6895
2011-2012,20,20,1099507.4262
2012-2013,5,5,453208.9914
2012-2013,5,7,1660.0824
2012-2013,5,8,6836.6043
2012-2013,5,9,453.8925
2012-2013,5,11,72.315
2012-2013,5,12,374.5926
2012-2013,5,13,776.9196
2012-2013,5,15,31.9329
2012-2013,5,16,136.1178
2012-2013,5,20,3740.1651
2012-2013,7,5,1747.6866
2012-2013,7,7,480043.3329
2012-2013,7,8,9616.311
2012-2013,7,9,131.472
2012-2013,7,11,47.3022
2012-2013,7,12,951.4872
2012-2013,7,13,732.0735
2012-2013,7,15,3.807
2012-2013,7,16,12.5982
2012-2013,7,20,1177.0758
2012-2013,8,5,7522.3152
2012-2013,8,7,10901.5929
2012-2013,8,8,1723643.8623
2012-2013,8,9,731.1213
2012-2013,8,11,63.1953
2012-2013,8,12,916.5042
2012-2013,8,13,5529.6864
2012-2013,8,15,50.4351
2012-2013,8,16,9.4428
2012-2013,8,20,8044.7121
2012-2013,9,5,336.2031
2012-2013,9,7,178.7778
2012-2013,9,8,765.2808
2012-2013,9,9,39203.0118
2012-2013,9,11,2.1726
2012-2013,9,12,1509.138
2012-2013,9,13,88.038
2012-2013,9,15,1487.9997
2012-2013,9,16,0.2601
2012-2013,9,20,443.1924
2012-2013,11,5,38.7333
2012-2013,11,7,37.5921
2012-2013,11,8,61.9092
2012-2013,11,9,2.646
2012-2013,11,11,767.4426
2012-2013,11,12,3.3696
2012-2013,11,13,7.1298
2012-2013,11,15,1.971
2012-2013,11,16,1.0737
2012-2013,11,20,11.2626
2012-2013,12,5,278.4564
2012-2013,12,7,1014.8544
2012-2013,12,8,800.2359
2012-2013,12,9,1321.7292
2012-2013,12,11,5.1525
2012-2013,12,12,1080390.7746
2012-2013,12,13,246.6342
2012-2013,12,15,291.0699
2012-2013,12,16,89.4735
2012-2013,12,20,75.9537
2012-2013,13,5,774.5454
2012-2013,13,7,696.2283
2012-2013,13,8,4877.1414
2012-2013,13,9,85.5198
2012-2013,13,11,7.1748
2012-2013,13,12,256.7124
2012-2013,13,13,109351.5336
2012-2013,13,15,24.6942
2012-2013,13,16,12.8466
2012-2013,13,20,479.4534
2012-2013,15,5,45.1971
2012-2013,15,7,4.0653
2012-2013,15,8,67.6512
2012-2013,15,9,1763.1027
2012-2013,15,11,1.6884
2012-2013,15,12,49.5954
2012-2013,15,13,22.2957
2012-2013,15,15,3535050.2976
2012-2013,15,16,177.8706
2012-2013,15,20,49.257
2012-2013,16,5,0.0135
2012-2013,16,7,0.0063
2012-2013,16,12,0.0063
2012-2013,16,13,0.3159
2012-2013,16,15,0.117
2012-2013,16,16,4235.1804
2012-2013,16,20,0.0045
2012-2013,20,5,3610.6182
2012-2013,20,7,991.2033
2012-2013,20,8,7836.6411
2012-2013,20,9,412.1469
2012-2013,20,11,16.1505
2012-2013,20,12,79.164
2012-2013,20,13,538.9443
2012-2013,20,15,49.2219
2012-2013,20,16,60.6735
2012-2013,20,20,1098669.5262
2013-2014,5,5,455056.8399
2013-2014,5,7,1504.1565
2013-2014,5,8,6221.88
2013-2014,5,9,348.3891
2013-2014,5,11,66.2382
2013-2014,5,12,356.0679
2013-2014,5,13,745.4736
2013-2014,5,15,36.7812
2013-2014,5,16,6.0237
2013-2014,5,20,3220.8975
2013-2014,7,5,1514.3769
2013-2014,7,7,481430.8863
2013-2014,7,8,9625.3389
2013-2014,7,9,163.8783
2013-2014,7,11,50.8113
2013-2014,7,12,949.0806
2013-2014,7,13,681.8787
2013-2014,7,15,3.1086
2013-2014,7,16,1.2447
2013-2014,7,20,1107.1287
2013-2014,8,5,6127.2963
2013-2014,8,7,8200.8216
2013-2014,8,8,1727051.031
2013-2014,8,9,766.0269
2013-2014,8,11,53.3682
2013-2014,8,12,758.3184
2013-2014,8,13,4667.3865
2013-2014,8,15,36.6813
2013-2014,8,16,0.4734
2013-2014,8,20,6844.2318
2013-2014,9,5,325.1142
2013-2014,9,7,137.2923
2013-2014,9,8,657.9756
2013-2014,9,9,40478.247
2013-2014,9,11,4.3209
2013-2014,9,12,742.7277
2013-2014,9,13,80.9649
2013-2014,9,15,1262.7747
2013-2014,9,16,0.0054
2013-2014,9,20,415.2186
2013-2014,11,5,65.7666
2013-2014,11,7,40.8852
2013-2014,11,8,75.6171
2013-2014,11,9,2.25
2013-2014,11,11,771.7329
2013-2014,11,12,3.6846
2013-2014,11,13,6.7473
2013-2014,11,15,1.08
2013-2014,11,16,0.0693
2013-2014,11,20,14.7573
2013-2014,12,5,317.2086
2013-2014,12,7,745.6914
2013-2014,12,8,819.8577
2013-2014,12,9,1208.9871
2013-2014,12,11,7.0542
2013-2014,12,12,1081027.6722
2013-2014,12,13,268.9065
2013-2014,12,15,58.329
2013-2014,12,16,2.3265
2013-2014,12,20,75.312
2013-2014,13,5,658.6515
2013-2014,13,7,591.3351
2013-2014,13,8,4386.1896
2013-2014,13,9,76.7898
2013-2014,13,11,8.3016
2013-2014,13,12,235.8756
2013-2014,13,13,110873.9934
2013-2014,13,15,17.4177
2013-2014,13,16,0.8199
2013-2014,13,20,444.2013
2013-2014,15,5,41.7465
2013-2014,15,7,3.3948
2013-2014,15,8,42.8238
2013-2014,15,9,1260.5544
2013-2014,15,11,5.8608
2013-2014,15,12,32.7825
2013-2014,15,13,23.7717
2013-2014,15,15,3535528.8861
2013-2014,15,16,6.66
2013-2014,15,20,45.0657
