Period,From,To,Area_km2
2013-2014,16,5,0.7497
2013-2014,16,7,0.1107
2013-2014,16,8,0.144
2013-2014,16,9,0.0081
2013-2014,16,11,0.0126
2013-2014,16,12,0.5229
2013-2014,16,13,0.6975
2013-2014,16,15,3.6144
2013-2014,16,16,4728.2895
2013-2014,16,20,1.3887
2013-2014,20,5,3092.6691
2013-2014,20,7,1106.6913
2013-2014,20,8,7494.2874
2013-2014,20,9,425.9313
2013-2014,20,11,12.2904
2013-2014,20,12,69.9426
2013-2014,20,13,458.5788
2013-2014,20,15,59.4432
2013-2014,20,16,1.917
2013-2014,20,20,1099968.8391
2014-2015,5,5,455024.2995
2014-2015,5,7,1385.1117
2014-2015,5,8,6086.1096
2014-2015,5,9,342.081
2014-2015,5,11,53.2386
2014-2015,5,12,327.4758
2014-2015,5,13,756.2763
2014-2015,5,15,27.0864
2014-2015,5,16,1.5588
2014-2015,5,20,3197.1771
2014-2015,7,5,1557.7821
2014-2015,7,7,480843.2889
2014-2015,7,8,8174.3931
2014-2015,7,9,131.7879
2014-2015,7,11,45.8577
2014-2015,7,12,1160.5644
2014-2015,7,13,743.3757
2014-2015,7,15,4.1094
2014-2015,7,16,0.3762
2014-2015,7,20,1099.728
2014-2015,8,5,7167.6612
2014-2015,8,7,10062.1197
2014-2015,8,8,1724867.9685
2014-2015,8,9,716.9967
2014-2015,8,11,75.8646
2014-2015,8,12,1017.7344
2014-2015,8,13,5599.0863
2014-2015,8,15,35.8506
2014-2015,8,16,0.1719
2014-2015,8,20,6831.6768
2014-2015,9,5,327.5919
2014-2015,9,7,155.7171
2014-2015,9,8,670.3146
2014-2015,9,9,40712.2074
2014-2015,9,11,5.0364
2014-2015,9,12,1242.0783
2014-2015,9,13,90.1836
2014-2015,9,15,1123.2702
2014-2015,9,16,0.0072
2014-2015,9,20,404.6553
2014-2015,11,5,57.7701
2014-2015,11,7,36.4635
2014-2015,11,8,60.5178
2014-2015,11,9,4.3425
2014-2015,11,11,792.8055
2014-2015,11,12,4.6269
2014-2015,11,13,8.7948
2014-2015,11,15,2.8593
2014-2015,11,16,0.0351
2014-2015,11,20,11.7756
2014-2015,12,5,335.655
2014-2015,12,7,712.7424
2014-2015,12,8,924.3396
2014-2015,12,9,979.8822
2014-2015,12,11,5.409
2014-2015,12,12,1080703.368
2014-2015,12,13,339.7455
2014-2015,12,15,50.0598
2014-2015,12,16,0.7758
2014-2015,12,20,124.6914
2014-2015,13,5,798.6771
2014-2015,13,7,677.3562
2014-2015,13,8,5161.0815
2014-2015,13,9,87.9912
2014-2015,13,11,9.0279
2014-2015,13,12,262.8054
2014-2015,13,13,110303.1972
2014-2015,13,15,16.8867
2014-2015,13,16,0.9144
2014-2015,13,20,490.4658
2014-2015,15,5,53.5302
2014-2015,15,7,2.9133
2014-2015,15,8,45.0324
2014-2015,15,9,1384.9884
2014-2015,15,11,1.9458
2014-2015,15,12,38.0637
2014-2015,15,13,27.5904
2014-2015,15,15,3535399.872
2014-2015,15,16,2.8449
2014-2015,15,20,51.3342
2014-2015,16,5,2.7045
2014-2015,16,7,0.4905
2014-2015,16,8,0.648
2014-2015,16,9,0.0099
2014-2015,16,11,0.018
2014-2015,16,12,1.4805
2014-2015,16,13,0.927
2014-2015,16,15,9.1539
2014-2015,16,16,4728.0285
2014-2015,16,20,4.3686
2014-2015,20,5,3361.0266
2014-2015,20,7,991.3023
2014-2015,20,8,7467.0336
2014-2015,20,9,421.8417
2014-2015,20,11,10.5966
2014-2015,20,12,59.5548
2014-2015,20,13,498.3255
2014-2015,20,15,95.7798
2014-2015,20,16,0.7929
2014-2015,20,20,1099230.7923
2015-2016,5,5,456312.6108
2015-2016,5,7,1267.7769
2015-2016,5,8,6469.9947
2015-2016,5,9,351.4617
2015-2016,5,11,35.8866
2015-2016,5,12,241.551
2015-2016,5,13,793.9854
2015-2016,5,15,24.0129
2015-2016,5,16,0.81
2015-2016,5,20,3188.6082
2015-2016,7,5,1308.1122
2015-2016,7,7,484137.3987
2015-2016,7,8,6947.9892
2015-2016,7,9,179.946
2015-2016,7,11,28.944
2015-2016,7,12,623.9457
2015-2016,7,13,698.9058
2015-2016,7,15,6.9948
2015-2016,7,16,0.1053
2015-2016,7,20,935.1666
2015-2016,8,5,5798.4579
2015-2016,8,7,8762.9571
2015-2016,8,8,1725407.4789
2015-2016,8,9,668.4903
2015-2016,8,11,48.3201
2015-2016,8,12,713.205
2015-2016,8,13,5550.2271
2015-2016,8,15,28.4481
2015-2016,8,16,0.1332
2015-2016,8,20,6479.7201
2015-2016,9,5,391.3794
2015-2016,9,7,129.7422
2015-2016,9,8,775.2357
2015-2016,9,9,40544.5167
2015-2016,9,11,5.4639
2015-2016,9,12,1146.258
2015-2016,9,13,105.6834
2015-2016,9,15,1285.6698
2015-2016,9,16,0.0027
2015-2016,9,20,398.178
2015-2016,11,5,50.2092
2015-2016,11,7,29.8674
2015-2016,11,8,60.9138
2015-2016,11,9,4.5306
2015-2016,11,11,825.7266
2015-2016,11,12,6.0417
2015-2016,11,13,8.523
2015-2016,11,15,2.7036
2015-2016,11,16,0.0117
2015-2016,11,20,11.2743
2015-2016,12,5,315.072
2015-2016,12,7,734.7996
2015-2016,12,8,657.5058
2015-2016,12,9,1044.972
2015-2016,12,11,6.0021
2015-2016,12,12,1081622.1906
2015-2016,12,13,309.582
2015-2016,12,15,46.0116
2015-2016,12,16,0.4905
2015-2016,12,20,81.1242
2015-2016,13,5,740.4921
2015-2016,13,7,651.0051
2015-2016,13,8,4611.2859
2015-2016,13,9,78.9543
2015-2016,13,11,8.7858
2015-2016,13,12,251.2728
2015-2016,13,13,111551.6493
2015-2016,13,15,21.7116
2015-2016,13,16,0.5121
2015-2016,13,20,451.8324
2015-2016,15,5,43.839
2015-2016,15,7,2.6451
2015-2016,15,8,34.1145
2015-2016,15,9,1724.7546
2015-2016,15,11,1.9485
2015-2016,15,12,32.9121
2015-2016,15,13,22.3263
2015-2016,15,15,3534842.3274
2015-2016,15,16,3.4362
2015-2016,15,20,56.6244
2015-2016,16,5,6.1596
2015-2016,16,7,1.2393
2015-2016,16,8,0.8613
2015-2016,16,9,0.0198
2015-2016,16,11,0.0639
2015-2016,16,12,3.6693
2015-2016,16,13,1.5129
2015-2016,16,15,14.3946
2015-2016,16,16,4703.3208
2015-2016,16,20,4.2642
2015-2016,20,5,3553.0902
2015-2016,20,7,907.7895
2015-2016,20,8,7693.8597
2015-2016,20,9,411.1551
2015-2016,20,11,9.1188
2015-2016,20,12,54.1242
2015-2016,20,13,510.165
2015-2016,20,15,43.3899
2015-2016,20,16,1.5408
2015-2016,20,20,1098262.4301
2016-2017,5,5,456097.032
2016-2017,5,7,1390.9347
2016-2017,5,8,6631.4637
2016-2017,5,9,330.7851
2016-2017,5,11,48.906
2016-2017,5,12,351.7101
2016-2017,5,13,761.967
2016-2017,5,15,26.7129
2016-2017,5,16,4.7799
2016-2017,5,20,2875.1283
2016-2017,7,5,1502.7795
2016-2017,7,7,482242.9221
2016-2017,7,8,10212.9759
2016-2017,7,9,169.5393
2016-2017,7,11,38.7882
2016-2017,7,12,639.0693
2016-2017,7,13,691.5492
2016-2017,7,15,3.1626
2016-2017,7,16,0.657
2016-2017,7,20,1123.785
2016-2017,8,5,6150.3615
2016-2017,8,7,8677.4364
2016-2017,8,8,1724248.9782
2016-2017,8,9,710.1639
2016-2017,8,11,74.4444
2016-2017,8,12,768.3885
2016-2017,8,13,5424.3009
2016-2017,8,15,28.1421
2016-2017,8,16,0.8388
2016-2017,8,20,6576.1677
2016-2017,9,5,461.5713
2016-2017,9,7,150.2316
2016-2017,9,8,801.1908
2016-2017,9,9,41058.7281
2016-2017,9,11,5.0112
2016-2017,9,12,983.8764
2016-2017,9,13,89.6085
2016-2017,9,15,1068.7077
2016-2017,9,16,0.0243
2016-2017,9,20,389.8503
2016-2017,11,5,42.2253
2016-2017,11,7,33.4422
2016-2017,11,8,66.8952
2016-2017,11,9,4.0716
2016-2017,11,11,794.5164
2016-2017,11,12,6.876
2016-2017,11,13,8.1972
2016-2017,11,15,3.0384
2016-2017,11,16,0.0504
2016-2017,11,20,10.9476
2016-2017,12,5,478.2951
2016-2017,12,7,1266.8931
2016-2017,12,8,1043.8506
2016-2017,12,9,1139.9886
2016-2017,12,11,3.7701
2016-2017,12,12,1080306.0423
2016-2017,12,13,311.0796
2016-2017,12,15,39.6756
2016-2017,12,16,3.2742
2016-2017,12,20,102.2949
2016-2017,13,5,791.874
2016-2017,13,7,665.4015
2016-2017,13,8,4756.3056
2016-2017,13,9,86.6439
2016-2017,13,11,7.6689
2016-2017,13,12,234.0837
2016-2017,13,13,112539.1707
2016-2017,13,15,16.1946
2016-2017,13,16,1.332
2016-2017,13,20,453.8772
2016-2017,15,5,40.0599
2016-2017,15,7,6.6852
2016-2017,15,8,32.5143
2016-2017,15,9,1355.0337
2016-2017,15,11,1.5309
2016-2017,15,12,41.6322
2016-2017,15,13,23.6178
2016-2017,15,15,3534756.0057
2016-2017,15,16,15.714
2016-2017,15,20,42.8697
2016-2017,16,5,1.7631
2016-2017,16,7,0.324
2016-2017,16,8,0.189
2016-2017,16,9,0.0054
2016-2017,16,11,0.018
2016-2017,16,12,2.7657
2016-2017,16,13,1.1412
2016-2017,16,15,5.0571
2016-2017,16,16,4696.7571
2016-2017,16,20,2.3427
2016-2017,20,5,3676.2453
2016-2017,20,7,996.6033
2016-2017,20,8,7622.1387
2016-2017,20,9,411.3774
2016-2017,20,11,13.6125
2016-2017,20,12,70.5411
2016-2017,20,13,506.7207
2016-2017,20,15,46.9161
2016-2017,20,16,6.165
2016-2017,20,20,1096518.8997
2017-2018,5,5,457343.6085
2017-2018,5,7,1236.5874
2017-2018,5,8,6325.3881
2017-2018,5,9,364.0851
2017-2018,5,11,39.0249
2017-2018,5,12,283.7484
2017-2018,5,13,791.4555
2017-2018,5,15,30.393
2017-2018,5,16,7.3332
2017-2018,5,20,2820.5829
2017-2018,7,5,1358.001
2017-2018,7,7,480999.3813
2017-2018,7,8,10196.2386
2017-2018,7,9,138.9726
2017-2018,7,11,30.1779
2017-2018,7,12,976.4604
2017-2018,7,13,692.046
2017-2018,7,15,3.51
2017-2018,7,16,1.7712
2017-2018,7,20,1034.3142
2017-2018,8,5,6521.8716
2017-2018,8,7,7809.0759
2017-2018,8,8,1727818.6707
2017-2018,8,9,722.8278
2017-2018,8,11,52.3071
2017-2018,8,12,974.2977
2017-2018,8,13,5006.9673
2017-2018,8,15,33.1344
2017-2018,8,16,1.1241
2017-2018,8,20,6476.2254
2017-2018,9,5,547.1478
2017-2018,9,7,180.6633
2017-2018,9,8,783.5121
2017-2018,9,9,40729.5081
2017-2018,9,11,2.853
2017-2018,9,12,1483.3944
2017-2018,9,13,83.1078
2017-2018,9,15,1062.3204
2017-2018,9,16,0.0126
2017-2018,9,20,393.8076
2017-2018,11,5,46.0647
2017-2018,11,7,30.6387
2017-2018,11,8,68.7825
2017-2018,11,9,3.0384
2017-2018,11,11,813.6144
2017-2018,11,12,3.7386
2017-2018,11,13,8.0172
2017-2018,11,15,1.2222
2017-2018,11,16,0.0756
2017-2018,11,20,13.0743
2017-2018,12,5,331.9047
2017-2018,12,7,1329.2397
2017-2018,12,8,1675.8711
2017-2018,12,9,765.603
2017-2018,12,11,8.9577
2017-2018,12,12,1078874.5158
2017-2018,12,13,292.6926
2017-2018,12,15,46.7766
2017-2018,12,16,4.1634
2017-2018,12,20,75.2679
2017-2018,13,5,814.0626
2017-2018,13,7,649.0683
2017-2018,13,8,5018.7645
2017-2018,13,9,87.1038
2017-2018,13,11,8.9847
2017-2018,13,12,257.2173
2017-2018,13,13,113033.0943
2017-2018,13,15,18.8109
2017-2018,13,16,0.9918
2017-2018,13,20,469.2411
2017-2018,15,5,35.6337
2017-2018,15,7,3.7026
2017-2018,15,8,27.9441
2017-2018,15,9,1217.0025
2017-2018,15,11,1.1466
2017-2018,15,12,35.2521
2017-2018,15,13,21.0699
2017-2018,15,15,3534585.7968
2017-2018,15,16,15.8049
2017-2018,15,20,50.2596
2017-2018,16,5,0.3636
2017-2018,16,7,0.0549
2017-2018,16,8,0.027
2017-2018,16,9,0.0081
2017-2018,16,11,0.0063
2017-2018,16,12,0.4023
2017-2018,16,13,0.8226
2017-2018,16,15,1.4625
2017-2018,16,16,4725.5256
2017-2018,16,20,0.9198
2017-2018,20,5,3941.9748
2017-2018,20,7,918.2754
2017-2018,20,8,7030.1853
2017-2018,20,9,401.3802
2017-2018,20,11,12.6324
2017-2018,20,12,74.5254
2017-2018,20,13,468.2709
2017-2018,20,15,42.9579
2017-2018,20,16,5.6349
2017-2018,20,20,1095200.3214
2018-2019,5,5,459170.0613
2018-2019,5,7,1294.6788
2018-2019,5,8,5600.4444
2018-2019,5,9,602.3466
2018-2019,5,11,36.7326
2018-2019,5,12,243.3762
2018-2019,5,13,800.5644
2018-2019,5,15,39.348
2018-2019,5,16,0.4113
2018-2019,5,20,3152.6802
2018-2019,7,5,1274.1327
2018-2019,7,7,481374.3843
2018-2019,7,8,7799.1381
2018-2019,7,9,140.8338
2018-2019,7,11,26.3052
2018-2019,7,12,877.9059
2018-2019,7,13,692.3601
2018-2019,7,15,6.6051
2018-2019,7,16,0.0855
2018-2019,7,20,964.9332
2018-2019,8,5,6296.5494
2018-2019,8,7,7634.637
2018-2019,8,8,1732611.7377
2018-2019,8,9,732.7908
2018-2019,8,11,59.5458
2018-2019,8,12,614.6622
2018-2019,8,13,4714.5681
2018-2019,8,15,50.8941
2018-2019,8,16,0.0405
2018-2019,8,20,6229.9467
2018-2019,9,5,425.0205
2018-2019,9,7,157.5153
2018-2019,9,8,696.8871
2018-2019,9,9,40161.0951
2018-2019,9,11,1.6497
2018-2019,9,12,906.858
2018-2019,9,13,86.7636
2018-2019,9,15,1565.3187
2018-2019,9,16,0.0045
2018-2019,9,20,428.4144
2018-2019,11,5,43.1568
2018-2019,11,7,26.2089
2018-2019,11,8,50.274
2018-2019,11,9,3.2535
2018-2019,11,11,814.7916
2018-2019,11,12,10.6137
2018-2019,11,13,7.2216
2018-2019,11,15,2.0754
2018-2019,11,16,0.0072
2018-2019,11,20,12.1023
2018-2019,12,5,268.1901
2018-2019,12,7,592.5708
2018-2019,12,8,1046.1609
2018-2019,12,9,1480.6602
2018-2019,12,11,4.338
2018-2019,12,12,1079175.3237
2018-2019,12,13,275.1093
2018-2019,12,15,60.2523
2018-2019,12,16,0.3807
2018-2019,12,20,60.5655
2018-2019,13,5,790.9569
2018-2019,13,7,659.2167
2018-2019,13,8,5060.6703
2018-2019,13,9,79.1343
2018-2019,13,11,8.3862
2018-2019,13,12,294.9462
2018-2019,13,13,112979.8845
2018-2019,13,15,21.2661
2018-2019,13,16,0.7947
2018-2019,13,20,502.2936
2018-2019,15,5,34.3809
2018-2019,15,7,3.6486
2018-2019,15,8,23.5521
2018-2019,15,9,1295.091
2018-2019,15,11,0.6426
2018-2019,15,12,47.2509
2018-2019,15,13,19.9314
2018-2019,15,15,3534357.474
2018-2019,15,16,1.2906
2018-2019,15,20,43.1226
2018-2019,16,5,4.4901
2018-2019,16,7,1.1592
2018-2019,16,8,0.9738
2018-2019,16,9,0.0117
2018-2019,16,11,0.0432
2018-2019,16,12,4.1778
2018-2019,16,13,0.6597
2018-2019,16,15,9.8577
2018-2019,16,16,4734.0522
2018-2019,16,20,7.0119
2018-2019,20,5,3320.127
2018-2019,20,7,847.7757
2018-2019,20,8,6704.3556
2018-2019,20,9,405.5877
2018-2019,20,11,14.5899
2018-2019,20,12,61.5798
2018-2019,20,13,425.5056
2018-2019,20,15,102.591
2018-2019,20,16,0.6678
2018-2019,20,20,1094651.2269
2019-2020,5,5,459445.7835
2019-2020,5,7,1254.0528
2019-2020,5,8,5838.3621
2019-2020,5,9,377.9748
2019-2020,5,11,40.7241
2019-2020,5,12,265.8627
2019-2020,5,13,767.8854
2019-2020,5,15,35.6814
2019-2020,5,16,0.8595
2019-2020,5,20,3599.8776
2019-2020,7,5,1384.2414
2019-2020,7,7,481725.4419
2019-2020,7,8,7003.7631
2019-2020,7,9,162.0027
2019-2020,7,11,31.8519
2019-2020,7,12,766.7325
2019-2020,7,13,646.5087
2019-2020,7,15,6.561
2019-2020,7,16,0.3195
2019-2020,7,20,864.3672
2019-2020,8,5,6123.0447
2019-2020,8,7,8487.7731
2019-2020,8,8,1732549.2687
2019-2020,8,9,686.8314
2019-2020,8,11,59.6124
2019-2020,8,12,817.3899
2019-2020,8,13,4883.0355
2019-2020,8,15,50.5683
2019-2020,8,16,0.2871
2019-2020,8,20,5936.391
2019-2020,9,5,588.4497
2019-2020,9,7,150.8004
2019-2020,9,8,754.137
2019-2020,9,9,40405.7646
2019-2020,9,11,1.7766
2019-2020,9,12,1330.2693
2019-2020,9,13,78.6789
2019-2020,9,15,1146.123
2019-2020,9,16,0.0045
2019-2020,9,20,444.8088
2019-2020,11,5,34.2099
2019-2020,11,7,24.615
2019-2020,11,8,47.8107
2019-2020,11,9,1.4031
2019-2020,11,11,832.3353
2019-2020,11,12,2.5632
2019-2020,11,13,8.7939
2019-2020,11,15,2.2005
2019-2020,11,16,0.0045
2019-2020,11,20,13.0896
2019-2020,12,5,246.1716
2019-2020,12,7,431.7066
2019-2020,12,8,1314.7002
2019-2020,12,9,996.3468
2019-2020,12,11,4.2183
2019-2020,12,12,1078851.1248
2019-2020,12,13,280.9458
2019-2020,12,15,62.0082
2019-2020,12,16,1.4787
2019-2020,12,20,47.9574
2019-2020,13,5,860.4198
2019-2020,13,7,681.2271
2019-2020,13,8,4871.7162
2019-2020,13,9,95.4279
2019-2020,13,11,7.3062
2019-2020,13,12,290.9016
2019-2020,13,13,112714.911
2019-2020,13,15,21.6324
2019-2020,13,16,1.0323
2019-2020,13,20,458.0037
2019-2020,15,5,38.9871
2019-2020,15,7,3.492
2019-2020,15,8,31.5198
2019-2020,15,9,1322.5059
2019-2020,15,11,0.2502
2019-2020,15,12,48.7647
2019-2020,15,13,20.466
2019-2020,15,15,3534702.1731
2019-2020,15,16,3.1005
2019-2020,15,20,44.4231
2019-2020,16,5,7.3719
2019-2020,16,7,1.6578
2019-2020,16,8,0.828
2019-2020,16,9,0.0153
2019-2020,16,11,0.0954
2019-2020,16,12,5.0886
2019-2020,16,13,1.3374
2019-2020,16,15,13.1913
2019-2020,16,16,4702.3704
2019-2020,16,20,5.7789
2019-2020,20,5,3371.1615
2019-2020,20,7,814.6935
2019-2020,20,8,6712.6347
2019-2020,20,9,398.8485
2019-2020,20,11,13.9383
2019-2020,20,12,63.3366
2019-2020,20,13,452.6478
2019-2020,20,15,87.858
2019-2020,20,16,2.367
2019-2020,20,20,1094134.8078
2020-2021,5,5,459652.1823
2020-2021,5,7,1214.9865
2020-2021,5,8,6389.2755
2020-2021,5,9,466.0848
2020-2021,5,11,31.2588
2020-2021,5,12,343.899
2020-2021,5,13,784.3491
2020-2021,5,15,29.9142
2020-2021,5,16,1.5075
2020-2021,5,20,3186.3897
2020-2021,7,5,1497.8475
2020-2021,7,7,482561.5563
2020-2021,7,8,6768.6804
2020-2021,7,9,171.8811
2020-2021,7,11,30.6162
2020-2021,7,12,932.4144
2020-2021,7,13,648.1926
2020-2021,7,15,9.6723
2020-2021,7,16,0.4941
2020-2021,7,20,954.1035
2020-2021,8,5,5929.2459
2020-2021,8,7,8866.8162
2020-2021,8,8,1730659.6926
2020-2021,8,9,678.9654
2020-2021,8,11,51.0741
2020-2021,8,12,1627.3755
2020-2021,8,13,4859.5176
2020-2021,8,15,67.0329
2020-2021,8,16,0.18
2020-2021,8,20,6384.8412
2020-2021,9,5,596.0682
2020-2021,9,7,181.1907
2020-2021,9,8,975.1491
2020-2021,9,9,39629.8872
2020-2021,9,11,2.3589
2020-2021,9,12,1494.0963
2020-2021,9,13,98.2836
2020-2021,9,15,1026.3501
2020-2021,9,16,0.0045
2020-2021,9,20,443.7297
2020-2021,11,5,39.3048
2020-2021,11,7,27.2322
2020-2021,11,8,56.1069
2020-2021,11,9,1.3653
2020-2021,11,11,842.8473
2020-2021,11,12,4.6098
2020-2021,11,13,6.6681
2020-2021,11,15,1.1295
2020-2021,11,16,0.027
2020-2021,11,20,12.8151
2020-2021,12,5,223.6023
2020-2021,12,7,442.0278
2020-2021,12,8,585.6246
2020-2021,12,9,1123.1136
2020-2021,12,11,1.5111
2020-2021,12,12,1079703.2619
2020-2021,12,13,279.6093
2020-2021,12,15,41.148
2020-2021,12,16,1.1682
2020-2021,12,20,40.9653
2020-2021,13,5,888.9318
2020-2021,13,7,690.7644
2020-2021,13,8,5288.2281
2020-2021,13,9,76.6341
2020-2021,13,11,8.1612
2020-2021,13,12,288.9468
2020-2021,13,13,112120.4133
2020-2021,13,15,24.1533
2020-2021,13,16,0.8919
2020-2021,13,20,468.0783
2020-2021,15,5,45.3924
2020-2021,15,7,3.3957
2020-2021,15,8,31.6503
2020-2021,15,9,1589.4738
2020-2021,15,11,0.3528
2020-2021,15,12,66.7602
2020-2021,15,13,20.2743
2020-2021,15,15,3534307.1262
2020-2021,15,16,3.3435
2020-2021,15,20,60.228
2020-2021,16,5,12.9078
2020-2021,16,7,1.3635
2020-2021,16,8,1.3041
2020-2021,16,9,0.0243
2020-2021,16,11,0.1467
2020-2021,16,12,17.5734
2020-2021,16,13,3.2355
2020-2021,16,15,30.9861
2020-2021,16,16,4631.0517
2020-2021,16,20,13.2309
2020-2021,20,5,3249.6687
2020-2021,20,7,1054.0449
2020-2021,20,8,7047.1611
2020-2021,20,9,405.8073
2020-2021,20,11,12.0393
2020-2021,20,12,59.5701
2020-2021,20,13,443.1132
2020-2021,20,15,58.824
2020-2021,20,16,1.2834
2020-2021,20,20,1093218.0021
2021-2022,5,5,466411.1526
2021-2022,5,7,474.0075
2021-2022,5,8,2724.1731
2021-2022,5,9,391.8321
2021-2022,5,11,19.5894
2021-2022,5,12,228.69
2021-2022,5,13,730.1808
2021-2022,5,15,32.0652
2021-2022,5,16,3.4497
2021-2022,5,20,1120.0014
2021-2022,7,5,575.7381
2021-2022,7,7,490289.1957
2021-2022,7,8,2703.933
2021-2022,7,9,157.581
2021-2022,7,11,11.6937
2021-2022,7,12,346.2174
2021-2022,7,13,591.9363
2021-2022,7,15,6.2262
2021-2022,7,16,0.4158
2021-2022,7,20,360.4311
2021-2022,8,5,2435.6898
2021-2022,8,7,2945.0115
2021-2022,8,8,1744429.7178
2021-2022,8,9,763.8795
2021-2022,8,11,25.8156
2021-2022,8,12,239.2596
2021-2022,8,13,4313.2977
2021-2022,8,15,47.6721
2021-2022,8,16,0.3879
2021-2022,8,20,2602.1529
2021-2022,9,5,588.4623
2021-2022,9,7,174.4587
2021-2022,9,8,897.714
2021-2022,9,9,39877.6356
2021-2022,9,11,1.989
2021-2022,9,12,964.1664
2021-2022,9,13,91.3689
2021-2022,9,15,1119.8061
2021-2022,9,16,0.0099
2021-2022,9,20,427.6269
2021-2022,11,5,13.7061
2021-2022,11,7,9.5661
2021-2022,11,8,24.5277
2021-2022,11,9,1.9989
2021-2022,11,11,915.2766
2021-2022,11,12,1.0503
2021-2022,11,13,5.6952
2021-2022,11,15,0.5238
2021-2022,11,16,0.0414
2021-2022,11,20,7.9812
2021-2022,12,5,166.3659
2021-2022,12,7,223.4646
2021-2022,12,8,217.0674
2021-2022,12,9,1139.1147
2021-2022,12,11,1.1295
2021-2022,12,12,1082493.1809
2021-2022,12,13,225.5274
2021-2022,12,15,36.2799
2021-2022,12,16,4.3083
2021-2022,12,20,32.0715
2021-2022,13,5,940.3164
2021-2022,13,7,710.5707
2021-2022,13,8,6309.2556
2021-2022,13,9,75.0582
2021-2022,13,11,10.6839
2021-2022,13,12,239.1363
2021-2022,13,13,110416.0302
2021-2022,13,15,26.1846
2021-2022,13,16,1.4283
2021-2022,13,20,534.987
2021-2022,15,5,34.0434
2021-2022,15,7,2.6163
2021-2022,15,8,29.1519
2021-2022,15,9,902.2995
2021-2022,15,11,0.5004
2021-2022,15,12,61.047
2021-2022,15,13,21.6468
2021-2022,15,15,3534469.416
2021-2022,15,16,15.2406
2021-2022,15,20,60.3738
2021-2022,16,5,15.0849
2021-2022,16,7,1.9035
2021-2022,16,8,1.6893
2021-2022,16,9,0.0207
2021-2022,16,11,0.135
2021-2022,16,12,12.7305
2021-2022,16,13,1.7793
2021-2022,16,15,19.8594
2021-2022,16,16,4577.4621
2021-2022,16,20,9.2871
2021-2022,20,5,1206.0648
2021-2022,20,7,470.34
2021-2022,20,8,2919.1293
2021-2022,20,9,399.1698
2021-2022,20,11,10.4373
2021-2022,20,12,27.5004
2021-2022,20,13,405.2529
2021-2022,20,15,47.5668
2021-2022,20,16,4.5693
2021-2022,20,20,1099292.3523
